site_id,brand,address,postcode,latitude,longitude,standard_diesel_b7,super_petrol_e5,standard_petrol_e10,super_diesel_sdv,last_updated
gcqu6ktbnppj,AppleGreen,"1 Wellington Road, Burton",DE14 2AP,52.803078,-1.650772,147.9,156.9,140.9,165.9,2025-02-26 11:45:37
gcpv228yzupu,AppleGreen,"1091 Greenford Road, Greenford",UB6 0EJ,51.551779,-0.339203,146.8,153.8,138.8,,2025-02-26 11:45:37
gcqdex003p1p,AppleGreen,"122 Holyhead Road, Birmingham",B21 0LL,52.509237,-1.955522,144.8,151.8,137.8,,2025-02-26 11:45:37
gcjgef0c95ph,AppleGreen,"124 Berrow Road, Burnham on Sea",TA8 2PG,51.251495,-2.998185,146.8,,139.8,,2025-02-26 11:45:37
gcr5qw8hj0tb,AppleGreen,"131 Humberstone Road, Leicester",LE5 3AD,52.638934,-1.120383,145.8,155.8,140.8,,2025-02-26 11:45:37
gcpvt4wcxb26,AppleGreen,"2 Bounds Green Road, Bowes Park",N11 2QH,51.605789,-0.122233,146.8,154.8,139.8,,2025-02-26 11:45:37
u1243hdmundq,AppleGreen,"22 West Park Street, Chatteris",PE16 6AJ,52.4525,0.04721,143.8,152.8,137.8,,2025-02-26 11:45:37
u12b5jrwy51b,AppleGreen,"23 Woodbridge Road East, Ipswich",IP4 5QN,52.061264,1.197083,141.8,149.8,134.8,,2025-02-26 11:45:37
gcqdcf2xqyy1,AppleGreen,"232 Whitehall road, Tipton",DY4 7EX,52.528289,-2.031486,142.8,,135.8,,2025-02-26 11:45:37
gcqdvnk62zp6,AppleGreen,"551 Kingstanding Road, Birmingham",B44 9TD,52.549405,-1.88377,143.8,,136.8,,2025-02-26 11:45:37
gcpuvgg4nxzs,AppleGreen,"96-106 Camberwell Road, Camberwell",SE5 0EG,51.480946,-0.094468,142.8,151.8,136.8,,2025-02-26 11:45:37
u124qw88psv0,AppleGreen,"A10 Bypass, Ely",CB6 1SE,52.462489,0.28666,148.8,154.8,140.8,,2025-02-26 11:45:37
gcq11edvjb28,AppleGreen,"A44 Bargates, Leominster",HR6 8EY,52.227117,-2.742558,148.8,156.8,141.8,,2025-02-26 11:45:37
gcqfzgmq7vh0,AppleGreen,"A5 Watling Street, Hinckley",LE10 3ED,52.533601,-1.40986,144.8,,138.8,,2025-02-26 11:45:37
gcnjjtf5qtmm,AppleGreen,"Applegreen Patchway Service Station, Bristol",BS34 6NA,51.536079,-2.567768,144.8,152.8,137.8,,2025-02-26 11:45:37
gcpw62hpksnx,AppleGreen,"Ashley Green Road, Chesham",HP5 3PG,51.7249,-0.598553,,,142.8,,2025-02-26 11:45:37
gctqq3rgq458,AppleGreen,"Back Corkickle, Cumbria",CA28 7TS,54.543568,-3.581624,146.8,153.8,137.8,,2025-02-26 11:45:37
gcpqv4phzzrt,AppleGreen,"Bicester Road, Aylesbury",HP19 3BB,51.823365,-0.825005,144.8,150.8,135.8,,2025-02-26 11:45:37
gcq1czndpyxf,AppleGreen,"Bromfield Road, Ludlow",SY8 1DN,52.377698,-2.726326,146.8,154.8,139.8,,2025-02-26 11:45:37
gcn7vwmfq076,AppleGreen,"Bythesea Road, Trowbridge",BA14 8HR,51.3189,-2.21108,143.8,149.8,136.8,,2025-02-26 11:45:37
gcwycucveh38,AppleGreen,"Cockton Hill Road, Co Durham",DL14 6JN,54.651083,-1.678374,142.8,,135.8,,2025-02-26 11:45:37
u10z06qejt9q,AppleGreen,"Colchester Road, Colchester",CO7 8RX,51.868374,1.074838,147.8,154.8,139.8,,2025-02-26 11:45:37
gcq4bhpx5gp9,AppleGreen,"Crossways, Church Stretton",SY6 6PQ,52.537839,-2.802029,148.8,158.8,143.8,,2025-02-26 11:45:37
gcz02v4pkr3d,AppleGreen,"Dame Dorothy Street, Sunderland",SR6 0EZ,54.916445,-1.37036,,151.8,136.8,,2025-02-26 11:45:37
gcrj646s0xk1,AppleGreen,"Derby Road, Ilkeston",DE7 5FH,52.967187,-1.314899,142.8,155.8,137.8,,2025-02-26 11:45:37
gcx0w227tm7n,AppleGreen,"Doncaster St George Service Station, Doncaster",DN1 2RE,53.527394,-1.131019,145.8,,136.8,160.8,2025-02-26 11:45:37
gcx0kbwgbkw1,AppleGreen,"Edlington Lane, Doncaster",DN12 1BS,53.48486,-1.188221,144.8,,135.8,159.8,2025-02-26 11:45:37
gcqp4qb3cc6x,AppleGreen,"Frodsham Sevice Station, Frodsham",Wa6 7HN,53.299106,-2.713201,143.8,152.8,136.8,,2025-02-26 11:45:37
gcqd6w8fmjqp,AppleGreen,"Hagley Road West, Birmingham",B32 2AL,52.462879,-1.998259,,151.8,136.8,,2025-02-26 11:45:37
u10n6c4h8b2r,AppleGreen,"High Road, Epping",CM16 6LX,51.729901,0.123629,140.8,,136.8,,2025-02-26 11:45:37
u101fnnp8yzb,AppleGreen,"High Street, Uckfield",TN22 5DL,50.9669,0.096173,145.8,153.8,138.8,,2025-02-26 11:45:37
gcqfhy6pr8qx,AppleGreen,"Holyhead Road Service Station, Coventry",CV5 8ND,52.418392,-1.545995,146.8,,140.8,,2025-02-26 11:45:37
gcqe73z3bnnz,AppleGreen,"Lichfield Road, Walsall",WS4 1PQ,52.612486,-1.956587,143.8,,137.8,,2025-02-26 11:45:37
gcjjyucqgp8d,AppleGreen,"Neath Road, Swansea",SA6 8EF,51.663034,-3.920273,,151.8,136.8,,2025-02-26 11:45:37
u10dgyvq5bx8,AppleGreen,"North Street, Ashford",TN24 8LQ,51.14651,0.875301,147.8,154.8,139.8,,2025-02-26 11:45:37
gcjm3zzvxzsn,AppleGreen,"Port Talbot Road, Swansea",SA13 1HN,51.591409,-3.779302,143.8,,136.8,,2025-02-26 11:45:37
gctctpg34pt1,AppleGreen,"Preston Road, St Annes, Lytham",FY8 5AT,53.743956,-2.93978,142.8,,138.8,,2025-02-26 11:45:37
gcq044g47vhh,AppleGreen,"Ross Road, Hereford",HR2 7RJ,52.04677,-2.720323,143.8,149.8,134.8,,2025-02-26 11:45:37
gcmy2x6kjhm3,AppleGreen,"Roundabout Service Station King Street, Clwyd",CH7 1LB,53.170418,-3.138778,143.8,,137.8,,2025-02-26 11:45:37
gcmwcrwndntb,AppleGreen,"Seaways Service Station, The Roe, Clwyd",LL17 OLY,53.260123,-3.45236,146.8,,141.8,,2025-02-26 11:45:37
gcqdmx4vbbt3,AppleGreen,"Small Heath Highway, Birmingham",B10 0AE,52.4662,-1.86386,146.8,,139.8,,2025-02-26 11:45:37
gcqdmx4ghd51,AppleGreen,"Small Heath Highway, Birmingham",B10 0AE,52.465736,-1.863702,146.8,,139.8,,2025-02-26 11:45:37
u104x1q4cce9,AppleGreen,"Station Road, Wadhurst",TN5 6RP,51.0718,0.315937,148.8,155.8,140.8,,2025-02-26 11:45:37
u10mdbhc7k84,AppleGreen,"Summerhill Service Station, Basildon",SS14 3AS,51.592036,0.479075,142.8,150.8,135.8,,2025-02-26 11:45:37
gcp1c24r7frz,AppleGreen,"Swaythling Rd, Southampton",SO30 3AG,50.933875,-1.348057,144.8,,137.8,,2025-02-26 11:45:37
